id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,falha_desgaste_ferramenta,falha_dissipacao_calor,falha_potencia,falha_tensao_excessiva,falha_aleatoria
L56434,L,298.3,309.1,90.0,1616.0,31.1,195.0,0,0,0,0,0,0
L48741,L,298.2,308.4,90.0,1388.0,53.8,137.0,0,0,0,0,0,0
L48850,L,298.2,307.8,90.0,1528.0,31.1,104.04401305817885,0,0,0,0,0,0
M20947,M,300.9,310.8,90.0,1599.0,33.0,7.0,0,0,0,0,0,0
L53849,L,299.6,310.5,90.0,1571.0,33.9,104.04401305817885,0,0,0,0,0,0
L53113,L,300.5,310.5,90.0,1483.0,47.4,56.0,0,0,0,0,0,0
M23689,M,299.6,308.8,90.0,1469.0,44.1,150.0,0,0,0,0,0,0
L55125,L,300.8,311.7,90.0,1655.0,32.2,12.0,0,0,0,0,0,0
L50688,L,301.7,310.9,90.0,1608.0,33.0,94.0,0,0,0,0,0,0
L49182,L,298.5,308.2,90.0,1654.0,27.1,13.0,0,0,0,0,0,0
L53046,L,301.5,311.1,90.0,1459.0,45.1,97.0,0,0,0,0,0,0
L47348,L,298.4,308.3,90.0,1433.0,62.3,20.0,1,0,0,1,0,0
L49768,L,299.0,308.7,90.0,1706.0,28.6,206.0,0,0,0,0,0,0
H35319,H,299.8752482392333,310.5,90.0,1582.0,31.1,193.0,0,0,0,0,0,0
L56709,L,299.1,310.3,90.0,1459.0,46.7,84.0,0,0,0,0,0,0
H35798,H,300.1,309.6,90.0,1521.588947810716,45.1,113.0,0,0,0,0,0,0
L55004,L,299.9,311.3,90.0,1535.0,38.1,94.0,0,0,0,0,0,0
L56959,L,298.8,309.8,90.0,1509.0,36.2,57.0,0,0,0,0,0,0
L51809,L,303.0,311.2,90.0,1735.0,26.1,194.0,0,0,0,0,0,0
L55740,L,298.3,309.0,90.0,1408.0,45.4,98.0,0,0,0,0,0,0
L56471,L,298.2,309.0,90.0,1353.0,57.8,89.0,0,0,0,0,0,0
H36288,H,300.9,311.3,90.0,1295.0,58.9,77.0,0,0,0,0,0,0
L53701,L,301.1,310.1,90.0,1666.0,27.2,104.04401305817885,0,0,0,0,0,0
M23839,M,299.6,307.5,90.0,1332.0,51.1,121.0,0,0,0,0,0,0
L53827,L,301.5,310.5,90.0,1927.0,22.4,149.0,0,0,0,0,0,0
L57005,L,298.4,309.2,90.0,1610.0,32.4,94.0,0,0,0,0,0,0
L47390,L,298.4,308.7,90.0,1523.0,36.1,126.0,0,0,0,0,0,0
M20138,M,303.5,312.9,90.0,1483.0,30.4,130.0,0,0,0,0,0,0
L49099,L,298.2,308.0,90.0,1658.0,30.0,3.0,0,0,0,0,0,0
L47898,L,297.5,308.8,90.0,1477.0,39.0,127.0,0,0,0,0,0,0
L52048,L,303.6,312.4,90.0,1418.0,46.0,128.0,0,0,0,0,0,0
L55014,L,300.0,311.4,90.0,1483.0,45.6,187.0,0,0,0,0,0,0
M16158,M,298.7,309.8,90.0,1343.0,53.6,104.04401305817885,0,0,0,0,0,0
M24053,M,297.9,309.0,90.0,1530.0,40.9,42.0,0,0,0,0,0,0
M19477,M,303.1,311.4,90.0,1831.0,,94.0,0,0,0,0,0,0
M17988,M,300.1,309.5,90.0,1483.0,42.8,50.0,0,0,0,0,0,0
L56975,L,298.5,309.3,90.0,1483.0,33.1,109.0,0,0,0,0,0,0
L51159,L,302.3,311.3,90.0,1439.0,41.8,96.0,0,0,0,0,0,0
M24784,M,298.5,308.6,90.0,1384.0,54.4,44.0,0,0,0,0,0,0
L55497,L,298.7,309.9485790946597,90.0,1667.0,30.4,92.0,0,0,0,0,0,0
M19253,M,299.8752482392333,310.1,90.0,1572.0,34.6,17.0,0,0,0,0,0,0
L48467,L,298.5,309.6,90.0,1419.0,41.5,105.0,0,0,0,0,0,0
H33769,H,302.0,309.8,90.0,1280.0,57.3,147.0,1,0,1,0,0,0
M21873,M,300.4,310.4,90.0,1483.0,36.3,21.0,0,0,0,0,0,0
L51065,L,302.5,311.5,90.0,1483.0,29.2,49.0,0,0,0,0,0,0
H35163,H,302.2,311.8,90.0,1483.0,62.4,31.0,0,0,0,0,0,0
L56349,L,297.7,308.8,90.0,1896.0,24.5,186.0,0,0,0,0,0,0
M17267,M,299.1,308.6,90.0,1499.0,45.1,185.0,0,0,0,0,0,0
L49193,L,298.6,309.8,90.0,1485.0,42.9,38.0,0,0,0,0,0,0
L52333,L,304.2,313.4,90.0,1644.0,31.7,23.0,0,0,0,0,0,0
M23411,M,298.2,309.1,90.0,1457.0,49.0,77.0,0,0,0,0,0,0
M19236,M,301.9,309.6,90.0,1551.0,34.6,211.0,0,0,0,0,0,0
L56002,L,297.4,308.8,90.0,1462.0,49.7,132.0,0,0,0,0,0,0
L51453,L,302.6,310.8,90.0,1486.0,36.4,160.0,0,0,0,0,0,0
L53005,L,301.3,311.1,90.0,1413.0,42.0,221.0,0,0,0,0,0,0
M21559,M,301.7,310.8,90.0,1516.0,40.4,48.0,0,0,0,0,0,0
M22103,M,300.0,310.2,90.0,1521.588947810716,51.2,94.0,0,0,0,0,0,0
L47629,L,297.6,308.7,90.0,1622.0,37.9,79.0,0,0,0,0,0,0
L49407,L,299.5,308.8,90.0,1965.0,20.4,164.0,0,0,0,0,0,0
M20616,M,302.0,311.5,90.0,1483.0,52.3,54.0,0,0,0,0,0,0
L47990,L,296.9,307.7,90.0,1550.0,39.7,124.0,0,0,0,0,0,0
L51360,L,299.8752482392333,310.8,90.0,1686.0,28.8,150.0,0,0,0,0,0,0
L56180,L,297.0,307.9,90.0,1483.0,46.1,173.0,0,0,0,0,0,0
L52618,L,302.9,312.5,90.0,1683.0,32.1,85.0,0,0,0,0,0,0
L54713,L,300.0,311.2,90.0,1504.0,37.9,58.0,0,0,0,0,0,0
H35783,H,300.0,309.5,90.0,1781.0,24.9,70.0,0,0,0,0,0,0
M23276,M,298.8,310.1,90.0,1585.0,,94.0,0,0,0,0,0,0
L48657,L,298.3,309.4,90.0,1570.0,35.6,138.0,0,0,0,0,0,0
L48970,L,298.2,307.9,90.0,1847.0,23.6,69.0,0,0,0,0,0,0
L49188,L,298.5,308.3,90.0,1811.0,24.7,27.0,0,0,0,0,0,0
H30096,H,299.8752482392333,309.0,90.0,1410.0,48.8,23.0,0,0,0,0,0,0
L49996,L,300.1,309.4,90.0,1434.0,47.3,127.0,0,0,0,0,0,0
L56611,L,298.0,308.6,90.0,1430.0,57.0,43.0,0,0,0,0,0,0
M18634,M,302.4,311.1,90.0,1480.0,45.7,200.0,0,0,0,0,0,0
M21355,M,300.6,309.8,90.0,1694.0,31.1,187.0,0,0,0,0,0,0
L56058,L,299.6,309.2,90.0,1802.0,26.9,83.0,0,0,0,0,0,0
L54541,L,299.5,310.0,90.0,1502.0,38.5,52.0,0,0,0,0,0,0
M23226,M,298.9,309.8,90.0,1836.0,22.8,18.0,0,0,0,0,0,0
L54654,L,300.3,311.7,90.0,1989.0,22.3,121.0,0,0,0,0,0,0
M14906,M,298.7,309.0,90.0,1843.0,25.8,130.0,0,0,0,0,0,0
M14890,M,299.1,309.5,90.0,1339.0,48.2,86.0,0,0,0,0,0,0
M23110,M,299.0,310.4,90.0,1394.0,45.2,122.0,0,0,0,0,0,0
L54115,L,300.7,311.2,90.0,1878.0,24.3,24.0,0,0,0,0,0,0
M16328,M,299.6,309.8,90.0,1419.0,44.9,115.0,0,0,0,0,0,0
H31079,H,298.2,307.9,90.0,1491.0,39.7,181.0,0,0,0,0,0,0
M16276,M,298.7,309.9,90.0,2083.0,18.2,94.0,0,0,0,0,0,0
L53660,L,300.7,309.9,90.0,1775.0,26.6,149.0,0,0,0,0,0,0
L52032,L,303.7,312.2,90.0,1483.0,34.9,92.0,0,0,0,0,0,0
L49650,L,298.9,309.9485790946597,90.0,1467.0,44.7,94.0,0,0,0,0,0,0
M19233,M,301.9,309.7,90.0,1533.0,35.9,204.0,0,0,0,0,0,0
L55704,L,298.3,309.4,90.0,1468.0,46.2,10.0,0,0,0,0,0,0
L47609,L,297.5,308.6,90.0,1208.0,62.3,28.0,0,0,0,0,0,0
L52424,L,299.6,313.0,90.0,1483.0,31.6,52.0,0,0,0,0,0,0
M16979,M,299.3,308.9,90.0,1858.0,24.7,101.0,0,0,0,0,0,0
M15245,M,297.6,308.6,90.0,1414.0,45.4,138.0,0,0,0,0,0,0
L49125,L,298.1,308.1,90.0,1616.0,32.8,65.0,0,0,0,0,0,0
L51404,L,299.8752482392333,310.7,90.0,1698.0,28.1,39.0,0,0,0,0,0,0
M15333,M,297.4,309.0,90.0,1520.0,37.0,147.0,0,0,0,0,0,0
H31543,H,299.4,309.0,90.0,1607.0,33.7,130.0,0,0,0,0,0,0
L53736,L,301.5,310.7,90.0,1686.0,27.9,94.0,0,0,0,0,0,0
M21858,M,300.6,310.7,90.0,1388.0,42.9,190.0,0,0,0,0,0,0
L48235,L,296.8,307.8,90.0,1480.0,39.4,122.0,0,0,0,0,0,0
L50454,L,301.3,310.0,90.0,1665.0,31.4,0.0,0,0,0,0,0,0
L52141,L,303.9,312.7,90.0,1800.0,24.3,158.0,0,0,0,0,0,0
L52543,L,303.2,312.5,90.0,1518.0,39.9,146.0,0,0,0,0,0,0
L52996,L,301.3,309.8,90.0,1582.0,35.6,202.0,0,0,0,0,0,0
L47991,L,296.8,307.6,90.0,1588.0,37.6,126.0,0,0,0,0,0,0
H33987,H,302.8,311.0,90.0,1436.0,43.5,47.0,0,0,0,0,0,0
M20997,M,300.9,310.8,90.0,1988.0,19.7,136.0,0,0,0,0,0,0
M17248,M,299.2,308.5,90.0,1526.0,37.3,94.0,0,0,0,0,0,0
L56828,L,299.1,309.8,90.0,1416.0,41.2,185.0,0,0,0,0,0,0
M21085,M,301.2,311.0,90.0,1424.0,41.4,131.0,0,0,0,0,0,0
H29525,H,298.7,308.6,90.0,1499.0,43.5,84.0,0,0,0,0,0,0
L56089,L,297.1,308.4,90.0,1529.0,40.4,165.0,0,0,0,0,0,0
L48925,L,298.5,309.8,90.0,1624.0,29.8,160.0,0,0,0,0,0,0
L55031,L,300.4,311.7,90.0,1373.0,47.2,3.0,0,0,0,0,0,0
L48632,L,299.0,310.3,90.0,1584.0,34.4,83.0,0,0,0,0,0,0
L47499,L,297.8,308.4,90.0,1612.0,32.1,94.0,0,0,0,0,0,0
M23453,M,297.4,308.0,90.0,1601.0,34.6,181.0,0,0,0,0,0,0
M18193,M,299.6,310.8,90.0,1343.0,49.5,140.0,0,0,0,0,0,0
L49102,L,298.0,307.8,90.0,1716.0,26.6,9.0,0,0,0,0,0,0
M20725,M,301.5,311.1,90.0,1402.0,40.0,94.0,0,0,0,0,0,0
M24388,M,299.1,310.3,90.0,1233.0,59.0,81.0,0,0,0,0,0,0
M18545,M,301.9,311.1,90.0,1380.0,51.6,184.0,0,0,0,0,0,0
M19135,M,302.4,309.8,90.0,1500.0,36.7,164.0,0,0,0,0,0,0
L52069,L,303.7,312.5,90.0,1632.0,36.6,186.0,0,0,0,0,0,0
M20085,M,304.0,313.2,90.0,1483.0,53.9,7.0,0,0,0,0,0,0
M22332,M,299.6,309.9485790946597,90.0,1521.588947810716,32.5,94.0,0,0,0,0,0,0
